Dataset;X;Y;Label type;Label
English Assembly Six;-11.784714;-1.605966;Descrete;fea
English Assembly Six;3.145868;11.513999;Descrete;ang
English Assembly Six;3.9046117999999996;5.0988765;Descrete;ang
English Assembly Six;-12.481173;5.5198684;Descrete;hap
English Assembly Six;6.7218103000000005;0.48853892;Descrete;neu
English Assembly Six;-7.355588000000001;-1.2984811;Descrete;hap
English Assembly Six;15.129048000000001;-16.997469;Descrete;sad
English Assembly Six;-10.664529;1.9564328000000002;Descrete;neu
English Assembly Six;-11.868117;-1.8833039;Descrete;sad
English Assembly Six;-12.03088;-4.9321019999999995;Descrete;fea
English Assembly Six;-9.065918;-0.84585786;Descrete;fea
English Assembly Six;0.6129602;-14.309867;Descrete;sad
English Assembly Six;-11.210063;0.26584658;Descrete;sad
English Assembly Six;9.508103;5.0768175000000015;Descrete;ang
English Assembly Six;-1.9742887999999998;1.8275907999999998;Descrete;sad
English Assembly Six;-9.423474;2.7535076000000003;Descrete;neu
English Assembly Six;-2.7933986;7.2098336;Descrete;ang
English Assembly Six;17.992765;-14.176941000000001;Descrete;sad
English Assembly Six;14.569966;-12.459831;Descrete;ang
English Assembly Six;15.570603;-17.334316;Descrete;sad
English Assembly Six;0.4038105;-13.567423999999999;Descrete;sad
English Assembly Six;-8.90119;2.5585147999999998;Descrete;sad
English Assembly Six;5.4394602999999995;1.1977475;Descrete;neu
English Assembly Six;5.582873;4.884940599999998;Descrete;ang
English Assembly Six;-10.262582;1.1900458;Descrete;neu
English Assembly Six;-1.6223128999999998;-4.772196299999999;Descrete;neu
English Assembly Six;14.527664999999999;8.884111;Descrete;fea
English Assembly Six;-5.3056636;4.848016;Descrete;hap
English Assembly Six;-8.290901;2.403721;Descrete;sad
English Assembly Six;-7.0869575;1.5329311;Descrete;fea
English Assembly Six;-0.9074040000000001;8.307109;Descrete;hap
English Assembly Six;7.868263199999999;1.2643031;Descrete;neu
English Assembly Six;-11.1601305;5.5792766;Descrete;fea
English Assembly Six;15.659501;-16.871925;Descrete;sad
English Assembly Six;-0.78147566;0.73053795;Descrete;sad
English Assembly Six;-0.46309313;9.916038499999999;Descrete;hap
English Assembly Six;-4.8886895;3.3722217000000003;Descrete;neu
English Assembly Six;-16.791445;2.5636718;Descrete;neu
English Assembly Six;2.4940295;-13.926498;Descrete;ang
English Assembly Six;-6.865492;3.0176453999999997;Descrete;neu
English Assembly Six;-0.18429020000000002;2.8273947;Descrete;sad
English Assembly Six;-16.510094;5.066339;Descrete;neu
English Assembly Six;8.440284;4.2426405;Descrete;ang
English Assembly Six;-4.426985299999999;5.657466;Descrete;fea
English Assembly Six;-7.618261;-2.17762;Descrete;neu
English Assembly Six;17.096020000000006;-9.633718;Descrete;ang
English Assembly Six;7.7601304;7.683473599999999;Descrete;ang
English Assembly Six;-10.705827000000001;2.6653882999999996;Descrete;fea
English Assembly Six;4.6404586;2.7837741;Descrete;ang
English Assembly Six;-14.126928;3.0969439999999997;Descrete;fea
English Assembly Six;-9.803504;-2.8862016;Descrete;neu
English Assembly Six;-12.997558999999999;0.20032617;Descrete;sad
English Assembly Six;4.385053;0.76939565;Descrete;neu
English Assembly Six;-15.785224;8.032267;Descrete;sad
English Assembly Six;-9.911303;8.81541;Descrete;neu
English Assembly Six;-8.979177;-1.7870941999999999;Descrete;neu
English Assembly Six;-6.009703;6.233751;Descrete;fea
English Assembly Six;-1.5120211000000001;1.2187715000000001;Descrete;neu
English Assembly Six;-16.234245;2.462333;Descrete;sad
English Assembly Six;-3.138377;0.97630215;Descrete;neu
English Assembly Six;4.4664617;-14.436281;Descrete;ang
English Assembly Six;-13.3745985;0.70100546;Descrete;neu
English Assembly Six;-12.649073;-0.30790955;Descrete;sad
English Assembly Six;-1.355459;9.152847;Descrete;hap
English Assembly Six;-13.992823000000001;1.0998507;Descrete;hap
English Assembly Six;-1.5884473;1.3659843;Descrete;neu
English Assembly Six;2.1292303;-15.113956;Descrete;sad
English Assembly Six;4.248382;-4.7360739999999995;Descrete;neu
English Assembly Six;-9.152934;0.42756143;Descrete;hap
English Assembly Six;-12.487065;2.5317893;Descrete;neu
English Assembly Six;8.155362;10.198382;Descrete;ang
English Assembly Six;-14.101512;-0.980605;Descrete;sad
English Assembly Six;-5.0063033;9.684811;Descrete;ang
English Assembly Six;-12.294115;2.445512;Descrete;sad
English Assembly Six;-15.610095000000001;6.8827476999999995;Descrete;neu
English Assembly Six;-14.201453;-0.3869985;Descrete;sad
English Assembly Six;-11.083953;-1.5087924;Descrete;neu
English Assembly Six;14.135335999999999;-15.055352;Descrete;hap
English Assembly Six;-7.140383;5.924689;Descrete;sad
English Assembly Six;-20.260447;1.3649069;Descrete;sad
English Assembly Six;7.840736;3.0988576;Descrete;hap
English Assembly Six;1.5098193000000002;-8.532715;Descrete;sad
English Assembly Six;-8.009207;2.0631826;Descrete;sad
English Assembly Six;-6.7019386;5.2460713;Descrete;hap
English Assembly Six;16.150541;-9.901100999999999;Descrete;fea
English Assembly Six;1.5911249;9.053537;Descrete;ang
English Assembly Six;-15.363479000000002;7.467295;Descrete;neu
English Assembly Six;-5.0476193;10.941543;Descrete;hap
English Assembly Six;17.768766;-15.300061999999999;Descrete;sad
English Assembly Six;-4.7734547;10.508045;Descrete;fea
English Assembly Six;-20.264559;1.3688709;Descrete;sad
English Assembly Six;-5.0628767;5.1175485;Descrete;hap
English Assembly Six;-8.519167999999999;0.05939091;Descrete;hap
English Assembly Six;4.8036494;-0.40533933;Descrete;neu
English Assembly Six;-7.0065800000000005;1.166872;Descrete;neu
English Assembly Six;0.5731132;-6.914578999999999;Descrete;neu
English Assembly Six;12.982643;-13.970498999999998;Descrete;fea
English Assembly Six;4.0549116000000005;-14.434370999999999;Descrete;hap
English Assembly Six;-16.140663;8.243607;Descrete;sad
English Assembly Six;-6.963183;2.4194765;Descrete;hap
English Assembly Six;0.22861019;7.696261;Descrete;fea
English Assembly Six;-0.1801574;0.8816938;Descrete;ang
English Assembly Six;15.216694;-16.735298;Descrete;sad
English Assembly Six;-12.624353;-3.472839;Descrete;sad
English Assembly Six;-9.250082;1.5868111;Descrete;neu
English Assembly Six;13.301001999999999;-17.09553;Descrete;sad
English Assembly Six;4.345473999999999;-3.499744;Descrete;ang
English Assembly Six;-1.7275976000000002;-3.0066826;Descrete;neu
English Assembly Six;-15.899562;7.214139500000001;Descrete;hap
English Assembly Six;-0.71169066;0.095713645;Descrete;hap
English Assembly Six;5.8818555;13.729314000000002;Descrete;hap
English Assembly Six;2.1576624;-3.9465106;Descrete;ang
English Assembly Six;3.0784428;12.200543;Descrete;ang
English Assembly Six;0.8851720999999999;2.0239804;Descrete;hap
English Assembly Six;-13.479425;1.7087623;Descrete;sad
English Assembly Six;5.83188;13.709798999999999;Descrete;fea
English Assembly Six;16.255001;-14.529948999999998;Descrete;neu
English Assembly Six;2.9749174;9.511308999999999;Descrete;ang
English Assembly Six;-13.095272999999999;-1.3303636;Descrete;neu
English Assembly Six;8.524952;2.865709;Descrete;hap
English Assembly Six;0.14780688;-13.791813000000001;Descrete;sad
English Assembly Six;16.86463;-8.912813;Descrete;ang
English Assembly Six;3.6198986000000004;11.578744;Descrete;ang
English Assembly Six;4.1463684999999995;-2.9565632;Descrete;hap
English Assembly Six;-0.5605916999999999;-13.685870999999999;Descrete;sad
English Assembly Six;-11.110304;0.9089082;Descrete;sad
English Assembly Six;1.131124;-3.6716678;Descrete;neu
English Assembly Six;-5.7206160000000015;10.331814;Descrete;hap
English Assembly Six;-0.37623;-4.2024193;Descrete;sad
English Assembly Six;16.869336999999998;-12.847223;Descrete;neu
English Assembly Six;15.828951000000002;-16.290953;Descrete;sad
English Assembly Six;0.29018074;0.6905239000000001;Descrete;neu
English Assembly Six;5.7340817;3.1072657;Descrete;hap
English Assembly Six;16.054160999999993;-10.1338625;Descrete;fea
English Assembly Six;2.090131;-2.7855911;Descrete;ang
English Assembly Six;-7.3439565;4.231779599999999;Descrete;fea
English Assembly Six;15.538279000000001;-16.005747;Descrete;neu
English Assembly Six;18.23852;-10.097505;Descrete;hap
English Assembly Six;2.5784214;5.824898999999999;Descrete;hap
English Assembly Six;-6.9156804;8.147231;Descrete;hap
English Assembly Six;-9.822505;1.6865748;Descrete;sad
English Assembly Six;6.1532164000000025;6.8614416;Descrete;neu
English Assembly Six;-0.8773824;10.697569;Descrete;fea
English Assembly Six;13.920772;9.58644;Descrete;ang
English Assembly Six;8.624325;8.185918;Descrete;ang
English Assembly Six;-12.433192;3.1396262999999998;Descrete;neu
English Assembly Six;-2.226178;9.406032000000002;Descrete;ang
English Assembly Six;0.55995655;2.3685696;Descrete;sad
English Assembly Six;0.03356458;-14.163181;Descrete;sad
English Assembly Six;-10.358146000000001;1.4917272;Descrete;fea
English Assembly Six;-10.110731;5.774891;Descrete;fea
English Assembly Six;-8.257397000000001;2.9641178;Descrete;hap
English Assembly Six;1.5444353000000002;-0.36109254;Descrete;ang
English Assembly Six;-7.785587299999999;-5.9663;Descrete;neu
English Assembly Six;-11.208222;-5.4569983;Descrete;fea
English Assembly Six;7.6819479999999984;-0.4179664000000001;Descrete;neu
English Assembly Six;2.4948745;9.631362;Descrete;ang
English Assembly Six;13.049629;-13.79367;Descrete;fea
English Assembly Six;-10.925180000000001;0.24241388;Descrete;fea
English Assembly Six;-7.5623580000000015;3.155364;Descrete;neu
English Assembly Six;8.322247;9.249808999999999;Descrete;ang
English Assembly Six;2.1541360000000003;-14.938963000000001;Descrete;neu
English Assembly Six;-10.7987795;-1.4929663999999998;Descrete;hap
English Assembly Six;-8.312759;9.661163;Descrete;fea
English Assembly Six;17.789778;-9.503707;Descrete;hap
English Assembly Six;-9.935871;3.3465404999999997;Descrete;sad
English Assembly Six;-3.1376123;7.6573566999999985;Descrete;hap
English Assembly Six;-9.771827;-1.8938689999999998;Descrete;neu
English Assembly Six;-0.20581754;1.5526648;Descrete;hap
English Assembly Six;-8.930829;0.9079925999999999;Descrete;hap
English Assembly Six;17.24233;-9.721455;Descrete;ang
English Assembly Six;-13.54301;2.2822080000000002;Descrete;neu
English Assembly Six;4.0270233;9.457835000000001;Descrete;ang
English Assembly Six;9.076827999999999;3.8556742999999996;Descrete;ang
English Assembly Six;14.032198999999999;-12.887846000000001;Descrete;ang
English Assembly Six;-11.644432;1.6108328;Descrete;sad
English Assembly Six;-8.9932995;-0.3834911;Descrete;fea
English Assembly Six;-11.82183;0.37111109999999997;Descrete;sad
English Assembly Six;5.896166;0.38464847;Descrete;neu
English Assembly Six;13.785191000000001;-12.459093;Descrete;ang
English Assembly Six;-10.62969;0.90201265;Descrete;sad
English Assembly Six;-3.1759527000000003;11.597944;Descrete;hap
English Assembly Six;-8.062049;9.637865;Descrete;hap
English Assembly Six;-8.925848;4.5630503;Descrete;fea
English Assembly Six;-5.6474247;6.7165656;Descrete;fea
English Assembly Six;-13.702888;9.149844;Descrete;sad
English Assembly Six;9.071914999999999;-0.25151187;Descrete;hap
English Assembly Six;8.195669;6.4111342;Descrete;ang
English Assembly Six;1.4387771;-8.934513;Descrete;sad
English Assembly Six;16.4007;-9.551655;Descrete;fea
English Assembly Six;13.675347;-13.611807999999998;Descrete;fea
English Assembly Six;-14.485945000000001;0.31576365;Descrete;sad
English Assembly Six;-7.3134685;4.3535775999999995;Descrete;hap
English Assembly Six;-0.49690908;10.415764;Descrete;fea
English Assembly Six;1.6646580000000002;9.420288000000001;Descrete;hap
English Assembly Six;14.735417000000002;8.655307;Descrete;neu
English Assembly Six;-16.048873999999998;6.8826613;Descrete;hap
English Assembly Six;-1.4276251;2.9860877999999995;Descrete;neu
English Assembly Six;-15.561326999999999;-1.3543602;Descrete;sad
English Assembly Six;-2.5436827999999996;-3.7679197999999996;Descrete;neu
English Assembly Six;1.0527691000000001;-2.7142346;Descrete;neu
English Assembly Six;17.721972;-15.5506315;Descrete;sad
English Assembly Six;-11.039161;10.821778;Descrete;sad
English Assembly Six;16.154396;-16.973833;Descrete;sad
English Assembly Six;-9.855828;2.0943446;Descrete;sad
English Assembly Six;1.3357201;-14.323456;Descrete;sad
English Assembly Six;14.775576000000001;-14.779792;Descrete;hap
English Assembly Six;2.0922456;-12.713392;Descrete;ang
English Assembly Six;-7.2830863;6.891636999999999;Descrete;fea
English Assembly Six;0.978799;0.5638215;Descrete;hap
English Assembly Six;0.69743353;-1.3455118000000001;Descrete;hap
English Assembly Six;8.222729;6.6100693;Descrete;hap
English Assembly Six;-1.0951883999999998;10.870299000000001;Descrete;ang
English Assembly Six;2.9036684;2.320136;Descrete;neu
English Assembly Six;6.5497765999999995;2.6607477999999998;Descrete;ang
English Assembly Six;13.612331;-13.68675;Descrete;fea
English Assembly Six;-9.794113000000001;8.801148;Descrete;hap
English Assembly Six;3.583649;-1.9550703;Descrete;hap
English Assembly Six;0.35708937;9.303035000000001;Descrete;fea
English Assembly Six;-11.806787;1.4072148000000002;Descrete;fea
English Assembly Six;-8.676189;4.996111;Descrete;fea
English Assembly Six;-0.7334229;1.4327618;Descrete;neu
English Assembly Six;13.289697;-12.646933;Descrete;ang
English Assembly Six;-6.450335;3.4777858;Descrete;hap
English Assembly Six;7.6743474;-1.121103;Descrete;hap
English Assembly Six;4.6672187;-3.5598426;Descrete;neu
English Assembly Six;-14.104030999999999;-1.7912843;Descrete;neu
English Assembly Six;8.633014999999999;9.301605;Descrete;ang
English Assembly Six;17.086567000000002;-8.925005;Descrete;ang
English Assembly Six;-7.1760589999999995;-1.835611;Descrete;ang
English Assembly Six;13.869260999999998;-12.315087;Descrete;ang
English Assembly Six;-6.0715346;5.5659222999999995;Descrete;hap
English Assembly Six;-15.271457;-3.1388835999999998;Descrete;sad
English Assembly Six;-9.766005499999999;4.5890116999999995;Descrete;sad
English Assembly Six;1.968362;-5.9954032999999995;Descrete;neu
English Assembly Six;-7.0173570000000005;-0.7134829;Descrete;sad
English Assembly Six;2.0523781999999997;-4.722666;Descrete;neu
English Assembly Six;-4.047137;9.017263999999999;Descrete;ang
English Assembly Six;2.3157425;1.1756468999999998;Descrete;neu
English Assembly Six;-11.70633;0.83224994;Descrete;sad
English Assembly Six;-7.3672223;1.0638521;Descrete;hap
English Assembly Six;3.0989301;10.439516000000001;Descrete;ang
English Assembly Six;1.0412395;9.121075999999999;Descrete;hap
English Assembly Six;4.370394;1.8778701;Descrete;hap
English Assembly Six;2.6832886;-2.8766727000000003;Descrete;hap
English Assembly Six;1.1591948;8.926586;Descrete;hap
English Assembly Six;-0.09702462;10.575204;Descrete;hap
English Assembly Six;-11.730089999999999;2.6269652999999997;Descrete;neu
English Assembly Six;-5.514417;0.94117135;Descrete;hap
English Assembly Six;0.5804666;-4.7168694;Descrete;neu
English Assembly Six;-3.5001771;5.2015142;Descrete;hap
English Assembly Six;-5.818455999999999;3.4644712999999996;Descrete;neu
English Assembly Six;-1.2243633999999999;8.662252;Descrete;fea
English Assembly Six;3.5441095999999996;3.0604846;Descrete;sad
English Assembly Six;-2.3811157000000005;8.467686;Descrete;fea
English Assembly Six;3.9365997000000004;-0.5919955;Descrete;neu
English Assembly Six;3.4883564;-0.43332052;Descrete;sad
English Assembly Six;-17.630632000000006;7.1294603;Descrete;sad
English Assembly Six;-16.19185;7.3800396999999975;Descrete;hap
English Assembly Six;-10.414307;4.242143;Descrete;sad
English Assembly Six;-0.056380145;-11.906998;Descrete;sad
English Assembly Six;14.907684;-16.6474;Descrete;neu
English Assembly Six;-9.406652000000001;-3.21358;Descrete;hap
English Assembly Six;2.9676666000000003;5.1793146;Descrete;neu
English Assembly Six;-8.108016000000001;-1.9561351999999999;Descrete;neu
English Assembly Six;13.514949;-16.815077;Descrete;neu
English Assembly Six;1.9268389;10.4592285;Descrete;ang
English Assembly Six;-20.258322;1.3635966999999998;Descrete;fea
English Assembly Six;17.684235;-15.203871;Descrete;sad
English Assembly Six;17.13909;-7.391486599999999;Descrete;fea
English Assembly Six;17.487692000000006;-15.294661499999998;Descrete;sad
English Assembly Six;5.791693;-4.4483776;Descrete;neu
English Assembly Six;-15.073908;7.5635657000000025;Descrete;neu
English Assembly Six;14.654245000000001;-11.721759;Descrete;ang
English Assembly Six;-17.5201;5.8735045999999995;Descrete;neu
English Assembly Six;9.57531;7.8628990000000005;Descrete;hap
English Assembly Six;-11.038159;1.524374;Descrete;ang
English Assembly Six;14.577067999999999;8.810253999999997;Descrete;fea
English Assembly Six;-4.2189827000000015;4.749562;Descrete;hap
English Assembly Six;9.116943;2.861329;Descrete;neu
English Assembly Six;-17.533772;8.539017999999999;Descrete;neu
English Assembly Six;0.46915385;12.342348;Descrete;ang
English Assembly Six;2.600305;3.4858625;Descrete;neu
English Assembly Six;-8.760261999999999;1.415972;Descrete;hap
English Assembly Six;-1.2785057;8.121654;Descrete;hap
English Assembly Six;-3.4067647000000005;8.702342;Descrete;ang
English Assembly Six;4.8688087;1.6768459999999998;Descrete;hap
English Assembly Six;18.41716;-14.800898000000002;Descrete;sad
English Assembly Six;-1.5829792999999999;11.100364;Descrete;ang
English Assembly Six;2.620658;-3.5685043;Descrete;ang
English Assembly Six;17.892135999999994;-9.3574295;Descrete;hap
English Assembly Six;5.46224;-1.0016896999999998;Descrete;neu
English Assembly Six;17.621154999999995;-9.714392;Descrete;hap
English Assembly Six;-4.0487475;10.547487;Descrete;ang
English Assembly Six;-18.670956;7.353832700000001;Descrete;sad
English Assembly Six;7.5678606;-1.9361886000000001;Descrete;hap
English Assembly Six;4.64351;-14.48316;Descrete;sad
English Assembly Six;-6.4104958;8.948147;Descrete;fea
English Assembly Six;-6.976897999999999;4.802345;Descrete;fea
English Assembly Six;-5.8898683;-5.0067925;Descrete;sad
English Assembly Six;-20.264797;1.3660312;Descrete;neu
English Assembly Six;12.731104;-14.040638000000001;Descrete;fea
English Assembly Six;-7.711096;1.0807811;Descrete;fea
English Assembly Six;18.299906;-9.978223;Descrete;hap
English Assembly Six;16.951078;-8.398430000000001;Descrete;fea
English Assembly Six;-14.00624;1.7892558999999997;Descrete;neu
English Assembly Six;0.72332454;-1.1151642;Descrete;sad
English Assembly Six;-16.953249;5.067009400000001;Descrete;sad
English Assembly Six;-15.886164;7.4303412;Descrete;hap
English Assembly Six;-0.2861857;8.794512;Descrete;hap
English Assembly Six;-7.9295936000000005;1.8271924;Descrete;neu
English Assembly Six;-1.0621668;-3.617774;Descrete;sad
English Assembly Six;1.65155;4.9333897;Descrete;ang
English Assembly Six;0.7555466;10.875352000000001;Descrete;ang
English Assembly Six;5.8727555;3.0430580000000003;Descrete;ang
English Assembly Six;16.432582999999994;-14.738314;Descrete;neu
English Assembly Six;-3.927976;8.685148;Descrete;ang
English Assembly Six;1.9955938000000002;9.201618;Descrete;ang
English Assembly Six;15.999791;-10.356585;Descrete;fea
English Assembly Six;-16.604836;6.5747952000000005;Descrete;hap
English Assembly Six;2.4013553;-3.7771508999999996;Descrete;ang
English Assembly Six;-10.129594;2.8824238999999996;Descrete;fea
English Assembly Six;5.402796299999999;0.7057517;Descrete;neu
English Assembly Six;-6.624467999999999;3.4550726000000003;Descrete;neu
English Assembly Six;17.775208;-14.861995;Descrete;sad
English Assembly Six;17.228724;-15.51186;Descrete;sad
English Assembly Six;-6.7342825;11.284104;Descrete;hap
English Assembly Six;15.955222000000001;-17.317709;Descrete;sad
English Assembly Six;0.7585823;0.1358158;Descrete;neu
English Assembly Six;4.024635;8.032336;Descrete;fea
English Assembly Six;2.3658593;6.6029534;Descrete;ang
English Assembly Six;16.199602;-10.443169000000001;Descrete;fea
English Assembly Six;-1.8839928;-1.5365090000000001;Descrete;ang
English Assembly Six;12.254431;0.1392391;Descrete;ang
English Assembly Six;5.7875404;13.663779000000002;Descrete;fea
English Assembly Six;15.943423000000001;-13.767673;Descrete;neu
English Assembly Six;-1.7996686999999998;10.325128999999999;Descrete;ang
English Assembly Six;8.535288000000001;4.9389496;Descrete;ang
English Assembly Six;4.869074299999999;-6.391878;Descrete;neu
English Assembly Six;2.8583724;-11.459750999999999;Descrete;fea
English Assembly Six;2.601797;-3.3795326;Descrete;neu
English Assembly Six;-3.506733;10.828968;Descrete;hap
English Assembly Six;-15.066822;6.4048099999999994;Descrete;sad
English Assembly Six;17.88147;-14.010073;Descrete;sad
English Assembly Six;-5.1510940000000005;10.269311;Descrete;ang
English Assembly Six;17.699444;-7.8905350000000025;Descrete;fea
English Assembly Six;-7.7870717;-5.9601607;Descrete;neu
English Assembly Six;1.7892647000000002;-14.217620000000002;Descrete;hap
English Assembly Six;14.591973000000001;-11.819488;Descrete;ang
English Assembly Six;6.511629;1.5489517;Descrete;ang
English Assembly Six;0.53449667;-3.4570882000000007;Descrete;neu
English Assembly Six;-13.484754;4.4347910000000015;Descrete;neu
English Assembly Six;-1.4493658999999999;-0.32988125;Descrete;sad
English Assembly Six;0.5384886;-4.36154;Descrete;neu
English Assembly Six;1.9890504;12.245128;Descrete;ang
English Assembly Six;-6.2372074;3.4652865;Descrete;fea
English Assembly Six;1.719989;0.76070637;Descrete;sad
English Assembly Six;0.12804143;-4.3953776;Descrete;neu
English Assembly Six;-0.65335095;10.835216;Descrete;fea
English Assembly Six;-11.733877;1.9938112000000001;Descrete;neu
English Assembly Six;0.4689844;4.1025542999999995;Descrete;ang
English Assembly Six;-6.0385447;11.095096;Descrete;hap
English Assembly Six;-11.443862;-2.3021986;Descrete;sad
English Assembly Six;1.7344881;-5.403576;Descrete;neu
English Assembly Six;2.0628192;-4.8238764000000005;Descrete;hap
English Assembly Six;12.768016000000001;-13.999407000000001;Descrete;fea
English Assembly Six;-16.783041;6.046198;Descrete;sad
English Assembly Six;-9.943841;4.1309094;Descrete;fea
English Assembly Six;-5.712689;2.5391333;Descrete;hap
English Assembly Six;2.200392;-14.296775;Descrete;fea
English Assembly Six;9.239628999999999;0.13234998;Descrete;ang
English Assembly Six;-7.2373977;2.4522107;Descrete;neu
English Assembly Six;-10.968714;-0.63969153;Descrete;neu
English Assembly Six;-6.000239;5.2069545;Descrete;fea
English Assembly Six;13.874035000000001;9.603928;Descrete;fea
English Assembly Six;3.519692;-13.760864999999999;Descrete;fea
English Assembly Six;-6.0311656;10.525209;Descrete;hap
English Assembly Six;16.823135;-8.289428;Descrete;fea
English Assembly Six;-8.628204;-1.6707959;Descrete;sad
English Assembly Six;13.950557;-13.100522999999999;Descrete;ang
English Assembly Six;1.3853966;9.382207000000001;Descrete;ang
English Assembly Six;-3.996022;7.336246000000001;Descrete;hap
English Assembly Six;-13.356948000000001;9.086383;Descrete;sad
English Assembly Six;1.8588791;-15.120906;Descrete;sad
English Assembly Six;14.551594;-16.848608;Descrete;neu
English Assembly Six;4.001910700000002;13.746116;Descrete;ang
English Assembly Six;-6.426381;4.6954184;Descrete;neu
English Assembly Six;-6.1201669999999995;3.3730510000000002;Descrete;fea
English Assembly Six;10.336859;-15.051896;Descrete;ang
English Assembly Six;-5.794162;3.1490986;Descrete;hap
English Assembly Six;4.2913275;4.745989;Descrete;neu
English Assembly Six;0.22686514;4.7079444000000015;Descrete;ang
English Assembly Six;17.398654999999998;-15.103916;Descrete;sad
English Assembly Six;-2.8987043;8.637564999999999;Descrete;fea
English Assembly Six;3.8400220000000003;-3.9836644999999997;Descrete;ang
English Assembly Six;-0.5291523;11.019572;Descrete;hap
English Assembly Six;-7.4692025;4.5070133000000006;Descrete;neu
English Assembly Six;-14.965748999999999;0.8644453999999999;Descrete;sad
English Assembly Six;4.384285;-4.9668019999999995;Descrete;neu
English Assembly Six;-13.618210000000001;0.47391033;Descrete;fea
English Assembly Six;7.668261999999999;-5.398268;Descrete;neu
English Assembly Six;-5.1040683;6.2886643;Descrete;neu
English Assembly Six;-1.2962056;0.47712678;Descrete;sad
English Assembly Six;-7.594073299999999;-1.4415118;Descrete;neu
English Assembly Six;4.963081;13.285779000000002;Descrete;ang
English Assembly Six;-0.14084858;-5.449498999999999;Descrete;neu
English Assembly Six;-9.763402000000001;0.1445408;Descrete;neu
English Assembly Six;17.71365;-15.349905;Descrete;sad
English Assembly Six;-8.298993;4.866185;Descrete;hap
English Assembly Six;5.3179419999999995;1.5883809;Descrete;neu
English Assembly Six;-10.642558;-1.4170444;Descrete;sad
English Assembly Six;-14.469134;-3.640767;Descrete;fea
English Assembly Six;-6.2346425000000005;8.885624;Descrete;ang
English Assembly Six;-1.176735;7.1378702999999994;Descrete;ang
English Assembly Six;-15.764695999999999;5.8476677000000015;Descrete;neu
English Assembly Six;-9.036864999999999;3.0039267999999995;Descrete;fea
English Assembly Six;16.71181;-9.656614999999999;Descrete;ang
English Assembly Six;-18.981832999999998;7.423924;Descrete;neu
