Dataset;X;Y;Container;Predicted label;True label;Label (descrete);Label (binary);Confusion matrix array
SAVEE;14.183110000000001;7.0008044000000025;TSNE;;;hap;not;
SAVEE;10.551449;7.458095599999999;TSNE;;;hap;not;
SAVEE;16.14096;7.628928;TSNE;;;hap;not;
SAVEE;16.007214;7.3244114;TSNE;;;hap;not;
SAVEE;16.712355;6.1182795;TSNE;;;hap;not;
SAVEE;12.086036;6.603977;TSNE;;;hap;not;
SAVEE;10.317341;6.5634966;TSNE;;;hap;not;
SAVEE;10.128779;4.129272;TSNE;;;hap;not;
SAVEE;10.613277;6.540903599999999;TSNE;;;hap;not;
SAVEE;10.877537;6.187231;TSNE;;;hap;not;
SAVEE;-8.057456;5.364771;TSNE;;;neu;not;
SAVEE;-4.1178865;4.985246;TSNE;;;neu;not;
SAVEE;-5.016514;10.443614;TSNE;;;neu;not;
SAVEE;-6.9871063;7.818386;TSNE;;;neu;not;
SAVEE;-8.400741;8.153922999999999;TSNE;;;neu;not;
SAVEE;-9.987205;8.67961;TSNE;;;neu;not;
SAVEE;-4.211071;4.3169656;TSNE;;;neu;not;
SAVEE;-5.9945884000000005;8.437373;TSNE;;;neu;not;
SAVEE;-6.201848;4.126544;TSNE;;;neu;not;
SAVEE;-8.682661999999999;6.1637487;TSNE;;;neu;not;
SAVEE;-7.19256;6.270315;TSNE;;;neu;not;
SAVEE;-5.9601417;5.358656400000001;TSNE;;;neu;not;
SAVEE;-6.619218300000001;7.320154;TSNE;;;neu;not;
SAVEE;-11.517463000000001;7.6201663;TSNE;;;neu;not;
SAVEE;-6.246975;6.6438026;TSNE;;;neu;not;
SAVEE;-7.9203167;5.121613;TSNE;;;neu;not;
SAVEE;-4.011051999999999;4.9231157;TSNE;;;neu;not;
SAVEE;-4.986196;10.194333;TSNE;;;neu;not;
SAVEE;-5.765105;6.177752;TSNE;;;neu;not;
SAVEE;-4.9423113;5.2472672;TSNE;;;neu;not;
SAVEE;-9.570508;6.463202;TSNE;;;neu;not;
SAVEE;-7.6273584;8.887786;TSNE;;;neu;not;
SAVEE;-7.924716;7.2879133000000005;TSNE;;;neu;not;
SAVEE;-5.2554574;6.6954702999999975;TSNE;;;neu;not;
SAVEE;-6.580373299999999;8.131487;TSNE;;;neu;not;
SAVEE;-14.351197;4.909107;TSNE;;;neu;not;
SAVEE;-4.9750276;6.572957499999999;TSNE;;;neu;not;
SAVEE;-6.251444;7.314945699999999;TSNE;;;neu;not;
SAVEE;-8.284358000000001;3.7785493999999997;TSNE;;;neu;not;
SAVEE;-11.566393;8.960479;TSNE;;;neu;not;
SAVEE;2.0842709999999998;8.458293;TSNE;;;sad;neg;
SAVEE;-0.665593;11.255768;TSNE;;;sad;neg;
SAVEE;2.6752993999999997;14.788197;TSNE;;;sad;neg;
SAVEE;-0.6851206999999999;12.252047;TSNE;;;sad;neg;
SAVEE;-0.54798305;7.9151845000000005;TSNE;;;sad;neg;
SAVEE;-2.1079185000000003;12.160339;TSNE;;;sad;neg;
SAVEE;1.2915708000000001;10.830859;TSNE;;;sad;neg;
SAVEE;1.85828;9.258099000000001;TSNE;;;sad;neg;
SAVEE;-0.8072776999999999;12.1769705;TSNE;;;sad;neg;
SAVEE;0.703491;7.2482934000000006;TSNE;;;sad;neg;
SAVEE;-2.533251;11.590783;TSNE;;;sad;neg;
SAVEE;-2.9613017999999998;12.002757;TSNE;;;sad;neg;
SAVEE;1.4844892;9.301602;TSNE;;;sad;neg;
SAVEE;-0.54501104;6.284211599999999;TSNE;;;sad;neg;
SAVEE;-0.70726687;7.8939476;TSNE;;;sad;neg;
SAVEE;3.0137177000000004;8.963892;TSNE;;;sur;not;
SAVEE;6.435775;10.99703;TSNE;;;sur;not;
SAVEE;3.5083659;15.568130499999999;TSNE;;;sur;not;
SAVEE;10.202478;9.485558000000001;TSNE;;;sur;not;
SAVEE;7.7976300000000025;8.925739;TSNE;;;sur;not;
SAVEE;7.9662479999999976;7.9789305;TSNE;;;sur;not;
SAVEE;11.222725;1.9727709999999998;TSNE;;;sur;not;
SAVEE;8.252862;11.788852;TSNE;;;sur;not;
SAVEE;9.019732000000001;12.202766;TSNE;;;sur;not;
SAVEE;8.333767;7.700252000000001;TSNE;;;sur;not;
SAVEE;9.193717;14.829898000000002;TSNE;;;sur;not;
SAVEE;6.325908;12.10908;TSNE;;;sur;not;
SAVEE;6.2109375;12.770043;TSNE;;;sur;not;
SAVEE;8.987399;11.84504;TSNE;;;sur;not;
SAVEE;8.907047;10.902003;TSNE;;;sur;not;
SAVEE;17.044846;-6.010935;TSNE;;;ang;neg;
SAVEE;15.320925;-0.72816485;TSNE;;;ang;neg;
SAVEE;4.599705999999999;16.974264;TSNE;;;ang;neg;
SAVEE;16.154137;0.079799205;TSNE;;;ang;neg;
SAVEE;18.249360999999997;-2.3255281;TSNE;;;ang;neg;
SAVEE;15.796582;-0.6314398;TSNE;;;ang;neg;
SAVEE;18.894861;7.1473210000000025;TSNE;;;ang;neg;
SAVEE;17.349467999999998;13.497563000000001;TSNE;;;ang;neg;
SAVEE;16.888445;-1.561237;TSNE;;;ang;neg;
SAVEE;16.863747;-1.4527007;TSNE;;;ang;neg;
SAVEE;3.3675432;-0.61112875;TSNE;;;ang;neg;
SAVEE;5.1977777000000005;4.347462;TSNE;;;ang;neg;
SAVEE;5.659182;3.784132;TSNE;;;ang;neg;
SAVEE;3.6173089;-0.6380726999999999;TSNE;;;ang;neg;
SAVEE;6.121069;1.3824807;TSNE;;;ang;neg;
SAVEE;4.335311;1.9182726000000003;TSNE;;;dis;neg;
SAVEE;0.19581611;-0.7716773;TSNE;;;dis;neg;
SAVEE;1.7263554;3.5374991999999996;TSNE;;;dis;neg;
SAVEE;7.416459599999999;-0.51823115;TSNE;;;dis;neg;
SAVEE;8.749753;1.3236233999999998;TSNE;;;dis;neg;
SAVEE;-8.609192;13.932084;TSNE;;;dis;neg;
SAVEE;-6.681958;14.105162;TSNE;;;dis;neg;
SAVEE;-0.06764333;-3.36288;TSNE;;;dis;neg;
SAVEE;-3.6075966;3.3265133000000002;TSNE;;;dis;neg;
SAVEE;-2.5568771;0.29525209999999996;TSNE;;;dis;neg;
SAVEE;-7.3997173;12.897813000000001;TSNE;;;dis;neg;
SAVEE;-7.9068327000000025;14.659723000000001;TSNE;;;dis;neg;
SAVEE;-9.773891;12.746428;TSNE;;;dis;neg;
SAVEE;-11.078896499999999;10.309944;TSNE;;;dis;neg;
SAVEE;5.8001723;0.1964473;TSNE;;;dis;neg;
SAVEE;13.079492;14.344546;TSNE;;;fea;neg;
SAVEE;12.219038000000001;12.357136;TSNE;;;fea;neg;
SAVEE;13.136804999999999;18.275843;TSNE;;;fea;neg;
SAVEE;13.732826000000001;14.702974;TSNE;;;fea;neg;
SAVEE;15.487523999999999;10.851395;TSNE;;;fea;neg;
SAVEE;11.112809;14.719002;TSNE;;;fea;neg;
SAVEE;10.668921000000001;13.741121;TSNE;;;fea;neg;
SAVEE;10.983821;15.705599;TSNE;;;fea;neg;
SAVEE;10.59981;12.596047;TSNE;;;fea;neg;
SAVEE;4.5862680000000005;12.959488;TSNE;;;fea;neg;
SAVEE;9.874075999999999;13.022583000000001;TSNE;;;fea;neg;
SAVEE;6.6496744;4.917137599999998;TSNE;;;fea;neg;
SAVEE;15.420617000000002;15.879556;TSNE;;;fea;neg;
SAVEE;6.5221653;5.4391623;TSNE;;;fea;neg;
SAVEE;-8.3958645;18.206976;TSNE;;;fea;neg;
SAVEE;4.026338;2.29675;TSNE;;;hap;not;
SAVEE;12.898000999999999;10.391772999999999;TSNE;;;hap;not;
SAVEE;10.928334;16.338739999999998;TSNE;;;hap;not;
SAVEE;7.182422;4.6776743;TSNE;;;hap;not;
SAVEE;6.6560082;0.38423768;TSNE;;;hap;not;
SAVEE;5.173447;4.7363669999999995;TSNE;;;hap;not;
SAVEE;16.685896;13.784963000000001;TSNE;;;hap;not;
SAVEE;16.823288;13.698134;TSNE;;;hap;not;
SAVEE;5.6676470000000005;6.1380095;TSNE;;;hap;not;
SAVEE;14.685698;10.965053;TSNE;;;hap;not;
SAVEE;7.8278193;3.0178201000000002;TSNE;;;hap;not;
SAVEE;7.4522559999999975;0.16635495;TSNE;;;hap;not;
SAVEE;18.28361;10.971511999999999;TSNE;;;hap;not;
SAVEE;6.5659795;1.2068988999999999;TSNE;;;hap;not;
SAVEE;16.854212;-6.1484485;TSNE;;;hap;not;
SAVEE;-12.903277000000001;7.285448;TSNE;;;neu;not;
SAVEE;-9.578188;11.293731;TSNE;;;neu;not;
SAVEE;-15.192891;15.371369;TSNE;;;neu;not;
SAVEE;-12.903556;13.581667999999999;TSNE;;;neu;not;
SAVEE;-13.492151000000002;14.502112;TSNE;;;neu;not;
SAVEE;-13.210493;10.217903999999999;TSNE;;;neu;not;
SAVEE;-8.390711;10.172424000000001;TSNE;;;neu;not;
SAVEE;-12.0722065;11.446327;TSNE;;;neu;not;
SAVEE;-13.909297;9.524474;TSNE;;;neu;not;
SAVEE;-11.838533;12.752939999999999;TSNE;;;neu;not;
SAVEE;-12.731567;8.164017;TSNE;;;neu;not;
SAVEE;-14.305470999999999;15.314867000000001;TSNE;;;neu;not;
SAVEE;-11.506302;11.291402;TSNE;;;neu;not;
SAVEE;-14.517052;10.277249000000001;TSNE;;;neu;not;
SAVEE;-11.732716;13.075185000000001;TSNE;;;neu;not;
SAVEE;-13.718025;5.88693;TSNE;;;neu;not;
SAVEE;-9.746663;11.3285;TSNE;;;neu;not;
SAVEE;-15.307547;15.343451000000002;TSNE;;;neu;not;
SAVEE;-12.295115;10.278296000000001;TSNE;;;neu;not;
SAVEE;-10.67627;10.571261;TSNE;;;neu;not;
SAVEE;-12.9921255;12.428622;TSNE;;;neu;not;
SAVEE;-11.805767999999999;15.275951000000001;TSNE;;;neu;not;
SAVEE;-13.864113;13.8832;TSNE;;;neu;not;
SAVEE;-14.409941;4.8741884;TSNE;;;neu;not;
SAVEE;-11.493321;13.256001000000001;TSNE;;;neu;not;
SAVEE;-13.357273000000001;8.209574;TSNE;;;neu;not;
SAVEE;-13.868732000000001;9.031929;TSNE;;;neu;not;
SAVEE;-11.229523;11.374830000000001;TSNE;;;neu;not;
SAVEE;-12.43421;14.081457;TSNE;;;neu;not;
SAVEE;-14.432329000000001;8.736713;TSNE;;;neu;not;
SAVEE;-9.35789;17.385513;TSNE;;;sad;neg;
SAVEE;-10.501714;13.921560999999999;TSNE;;;sad;neg;
SAVEE;-15.643863;17.159212;TSNE;;;sad;neg;
SAVEE;-10.373757000000001;16.86786;TSNE;;;sad;neg;
SAVEE;-10.481622;15.604225;TSNE;;;sad;neg;
SAVEE;-10.780549;18.468752;TSNE;;;sad;neg;
SAVEE;-14.753581;17.662888;TSNE;;;sad;neg;
SAVEE;-14.609207000000001;17.573284;TSNE;;;sad;neg;
SAVEE;-14.82143;18.062035;TSNE;;;sad;neg;
SAVEE;-13.094729;16.1231;TSNE;;;sad;neg;
SAVEE;-10.696102999999999;16.966444;TSNE;;;sad;neg;
SAVEE;-11.061467;17.05575;TSNE;;;sad;neg;
SAVEE;-11.703647;17.624325;TSNE;;;sad;neg;
SAVEE;-11.587800999999999;17.511679;TSNE;;;sad;neg;
SAVEE;-12.860996;17.431158;TSNE;;;sad;neg;
SAVEE;12.869793;14.341295;TSNE;;;sur;not;
SAVEE;14.602404;11.164214999999999;TSNE;;;sur;not;
SAVEE;13.234079000000001;18.253092000000002;TSNE;;;sur;not;
SAVEE;12.596826;12.450194999999999;TSNE;;;sur;not;
SAVEE;14.215632999999999;13.340244;TSNE;;;sur;not;
SAVEE;16.066294;17.44727;TSNE;;;sur;not;
SAVEE;15.1174965;15.212617000000002;TSNE;;;sur;not;
SAVEE;17.962845;13.902819000000001;TSNE;;;sur;not;
SAVEE;15.348562;15.507919000000001;TSNE;;;sur;not;
SAVEE;16.353384;2.5558994;TSNE;;;sur;not;
SAVEE;13.985807000000001;16.733036;TSNE;;;sur;not;
SAVEE;7.836322;1.3909178999999998;TSNE;;;sur;not;
SAVEE;3.2571216;3.243808;TSNE;;;sur;not;
SAVEE;7.8405210000000025;2.7615826;TSNE;;;sur;not;
SAVEE;15.957492000000002;1.9687356;TSNE;;;sur;not;
SAVEE;17.64888;-4.0237169999999995;TSNE;;;ang;neg;
SAVEE;19.311882;2.3316884;TSNE;;;ang;neg;
SAVEE;19.037354;0.31531814;TSNE;;;ang;neg;
SAVEE;19.56159;-1.6165633999999998;TSNE;;;ang;neg;
SAVEE;19.933659;-2.4725692;TSNE;;;ang;neg;
SAVEE;22.321672;-5.5912375;TSNE;;;ang;neg;
SAVEE;22.401495;0.27057347;TSNE;;;ang;neg;
SAVEE;22.554174;-4.15634;TSNE;;;ang;neg;
SAVEE;23.094317999999998;-5.0464296;TSNE;;;ang;neg;
SAVEE;23.78894;-6.1489916;TSNE;;;ang;neg;
SAVEE;24.24111700000001;-3.4312901;TSNE;;;ang;neg;
SAVEE;23.69696;-5.265401;TSNE;;;ang;neg;
SAVEE;23.75786;-5.9556413;TSNE;;;ang;neg;
SAVEE;24.396461;-4.872667;TSNE;;;ang;neg;
SAVEE;20.7221;-2.9055614;TSNE;;;ang;neg;
SAVEE;6.3387970000000005;-3.1714043999999997;TSNE;;;dis;neg;
SAVEE;8.464692999999999;-4.6880217;TSNE;;;dis;neg;
SAVEE;2.2859116000000004;2.8482492;TSNE;;;dis;neg;
SAVEE;7.2288747;-1.9724561999999999;TSNE;;;dis;neg;
SAVEE;9.336518;-3.2573764;TSNE;;;dis;neg;
SAVEE;5.575721700000001;-6.2860785;TSNE;;;dis;neg;
SAVEE;7.1984600000000025;-8.211371;TSNE;;;dis;neg;
SAVEE;7.5718083;-6.6919546;TSNE;;;dis;neg;
SAVEE;10.274348;-6.794903;TSNE;;;dis;neg;
SAVEE;9.373608;-5.6302257;TSNE;;;dis;neg;
SAVEE;8.623828;-8.222699;TSNE;;;dis;neg;
SAVEE;8.956412;-9.013877;TSNE;;;dis;neg;
SAVEE;9.507976;-6.2143616999999995;TSNE;;;dis;neg;
SAVEE;8.538074499999999;-7.296616999999999;TSNE;;;dis;neg;
SAVEE;8.644978;-7.436083;TSNE;;;dis;neg;
SAVEE;25.940891;-2.2732377;TSNE;;;fea;neg;
SAVEE;23.189301999999998;1.8338813999999999;TSNE;;;fea;neg;
SAVEE;7.265725;17.307884;TSNE;;;fea;neg;
SAVEE;26.342496999999998;4.6861877;TSNE;;;fea;neg;
SAVEE;24.842043;2.11479;TSNE;;;fea;neg;
SAVEE;22.449478;4.566111;TSNE;;;fea;neg;
SAVEE;23.797107999999998;2.8425195;TSNE;;;fea;neg;
SAVEE;17.624413;3.5761945;TSNE;;;fea;neg;
SAVEE;24.013931;3.8034627;TSNE;;;fea;neg;
SAVEE;21.770317000000002;3.3661190999999997;TSNE;;;fea;neg;
SAVEE;25.084145;-0.69081527;TSNE;;;fea;neg;
SAVEE;25.535095000000002;0.22132333;TSNE;;;fea;neg;
SAVEE;27.442327000000002;2.7564685;TSNE;;;fea;neg;
SAVEE;23.996154999999998;1.7987218;TSNE;;;fea;neg;
SAVEE;25.070636999999998;0.12948751;TSNE;;;fea;neg;
SAVEE;20.628418;-4.3165293;TSNE;;;hap;not;
SAVEE;22.165346;1.9285028999999998;TSNE;;;hap;not;
SAVEE;19.524332;-0.065017045;TSNE;;;hap;not;
SAVEE;20.278635;-1.375889;TSNE;;;hap;not;
SAVEE;19.342579;-3.4746535000000005;TSNE;;;hap;not;
SAVEE;20.410095000000002;-0.07878289;TSNE;;;hap;not;
SAVEE;19.80855;-3.8548392999999996;TSNE;;;hap;not;
SAVEE;23.91599;-2.3694694;TSNE;;;hap;not;
SAVEE;21.095364;-0.04890967;TSNE;;;hap;not;
SAVEE;21.480816;-0.5507255;TSNE;;;hap;not;
SAVEE;19.07461;-5.6349587;TSNE;;;hap;not;
SAVEE;19.91086;-5.207247;TSNE;;;hap;not;
SAVEE;18.403214000000002;10.648259;TSNE;;;hap;not;
SAVEE;19.88759;-4.6788487000000005;TSNE;;;hap;not;
SAVEE;19.770757999999997;-4.517992;TSNE;;;hap;not;
SAVEE;4.327652;-4.0717015;TSNE;;;neu;not;
SAVEE;-1.4879524;-7.694998299999999;TSNE;;;neu;not;
SAVEE;-4.0189214;-3.8462707999999997;TSNE;;;neu;not;
SAVEE;1.7138613;-9.755293;TSNE;;;neu;not;
SAVEE;4.7515507;-9.264053;TSNE;;;neu;not;
SAVEE;4.1936893;-7.690299;TSNE;;;neu;not;
SAVEE;-1.5942447;-8.326999;TSNE;;;neu;not;
SAVEE;1.6198971000000002;-4.077547;TSNE;;;neu;not;
SAVEE;0.6385904;-5.763;TSNE;;;neu;not;
SAVEE;-1.7248729999999999;-2.167288;TSNE;;;neu;not;
SAVEE;4.035076999999999;-6.801832000000001;TSNE;;;neu;not;
SAVEE;-2.3090317000000002;-4.4183650000000005;TSNE;;;neu;not;
SAVEE;0.09419816;-3.7836092000000003;TSNE;;;neu;not;
SAVEE;3.4591657999999996;-7.2192974;TSNE;;;neu;not;
SAVEE;1.1112428;-5.351578;TSNE;;;neu;not;
SAVEE;4.7781153;-3.9629657;TSNE;;;neu;not;
SAVEE;-1.3498928999999995;-7.397968;TSNE;;;neu;not;
SAVEE;-3.764555;-3.8380983;TSNE;;;neu;not;
SAVEE;-0.74368745;-4.642296;TSNE;;;neu;not;
SAVEE;-0.55926955;-5.2465625;TSNE;;;neu;not;
SAVEE;2.211983;-4.083163;TSNE;;;neu;not;
SAVEE;-4.531773599999998;-1.4938339;TSNE;;;neu;not;
SAVEE;-0.8424267;-5.4288697;TSNE;;;neu;not;
SAVEE;1.8624076;-6.3327255;TSNE;;;neu;not;
SAVEE;1.7343217;-5.944852;TSNE;;;neu;not;
SAVEE;4.396833;-7.6703978;TSNE;;;neu;not;
SAVEE;0.8352628000000001;-6.452625;TSNE;;;neu;not;
SAVEE;1.1728877;-8.2147255;TSNE;;;neu;not;
SAVEE;-1.2219871999999998;-5.9451323;TSNE;;;neu;not;
SAVEE;0.9295039;-8.025029;TSNE;;;neu;not;
SAVEE;5.0469230000000005;-3.8129212999999997;TSNE;;;sad;neg;
SAVEE;2.0381558;1.9661328999999999;TSNE;;;sad;neg;
SAVEE;-4.8604845999999995;-4.0563536000000004;TSNE;;;sad;neg;
SAVEE;2.2242102999999998;-9.179262;TSNE;;;sad;neg;
SAVEE;2.6292644;-9.112751;TSNE;;;sad;neg;
SAVEE;1.1921962;-4.2897058;TSNE;;;sad;neg;
SAVEE;5.892601;-7.457191000000001;TSNE;;;sad;neg;
SAVEE;5.6186666;-5.6520805;TSNE;;;sad;neg;
SAVEE;0.81578654;-2.884374;TSNE;;;sad;neg;
SAVEE;4.6630864;-6.874967;TSNE;;;sad;neg;
SAVEE;-1.2311244;-2.7525182;TSNE;;;sad;neg;
SAVEE;-7.7112913;11.595258;TSNE;;;sad;neg;
SAVEE;2.725351;-5.2973266;TSNE;;;sad;neg;
SAVEE;3.446706;-4.825474;TSNE;;;sad;neg;
SAVEE;2.737453;-5.6941624000000015;TSNE;;;sad;neg;
SAVEE;24.69874;-2.1143669999999997;TSNE;;;sur;not;
SAVEE;23.217934;1.1979258999999998;TSNE;;;sur;not;
SAVEE;7.3213115;17.29283;TSNE;;;sur;not;
SAVEE;24.946976;2.8567970000000003;TSNE;;;sur;not;
SAVEE;26.47847;-2.7983854;TSNE;;;sur;not;
SAVEE;24.000035999999998;-1.0862068999999999;TSNE;;;sur;not;
SAVEE;24.606665;-0.96853024;TSNE;;;sur;not;
SAVEE;22.25644500000001;-2.7794578;TSNE;;;sur;not;
SAVEE;22.279669000000002;-2.4875252;TSNE;;;sur;not;
SAVEE;23.707248999999997;0.71309406;TSNE;;;sur;not;
SAVEE;16.526867000000006;17.592789;TSNE;;;sur;not;
SAVEE;26.660131;1.2575966;TSNE;;;sur;not;
SAVEE;25.523294;2.3290637000000003;TSNE;;;sur;not;
SAVEE;25.965624;1.8979502000000001;TSNE;;;sur;not;
SAVEE;26.689157;2.4506516;TSNE;;;sur;not;
SAVEE;-12.361564;-26.218559999999997;TSNE;;;ang;neg;
SAVEE;-25.470705;-19.791874;TSNE;;;ang;neg;
SAVEE;-11.778682;-15.576391000000001;TSNE;;;ang;neg;
SAVEE;-15.876451000000001;-20.994589;TSNE;;;ang;neg;
SAVEE;-22.187085999999997;-20.478476999999998;TSNE;;;ang;neg;
SAVEE;-18.408321;-23.115404;TSNE;;;ang;neg;
SAVEE;-25.244660999999997;-22.487492;TSNE;;;ang;neg;
SAVEE;-14.572554;-26.075912;TSNE;;;ang;neg;
SAVEE;-18.975029;-18.823095000000002;TSNE;;;ang;neg;
SAVEE;-17.559452;-24.812939;TSNE;;;ang;neg;
SAVEE;-17.680067;-12.525799000000001;TSNE;;;ang;neg;
SAVEE;-15.649857500000001;-23.349404999999997;TSNE;;;ang;neg;
SAVEE;-14.424627;-25.693686;TSNE;;;ang;neg;
SAVEE;-17.066341;-24.344114;TSNE;;;ang;neg;
SAVEE;-17.502989000000003;-24.30224;TSNE;;;ang;neg;
SAVEE;-16.993679999999998;-9.391875;TSNE;;;dis;neg;
SAVEE;-25.835085;-21.194770000000002;TSNE;;;dis;neg;
SAVEE;-11.488189;-15.233554000000002;TSNE;;;dis;neg;
SAVEE;-17.971573;-17.568302;TSNE;;;dis;neg;
SAVEE;-16.655134;-17.814646;TSNE;;;dis;neg;
SAVEE;-20.81929;-10.101171;TSNE;;;dis;neg;
SAVEE;-14.53885;-13.261029;TSNE;;;dis;neg;
SAVEE;-16.960882;-16.103610999999994;TSNE;;;dis;neg;
SAVEE;-22.386356;-13.918923000000001;TSNE;;;dis;neg;
SAVEE;-19.06991;-15.440831;TSNE;;;dis;neg;
SAVEE;-20.549314000000006;-8.610689;TSNE;;;dis;neg;
SAVEE;-13.110605;-18.104313;TSNE;;;dis;neg;
SAVEE;-18.075174;-16.357716;TSNE;;;dis;neg;
SAVEE;-18.50427;-18.191612;TSNE;;;dis;neg;
SAVEE;-19.158576999999998;-17.884691;TSNE;;;dis;neg;
SAVEE;-16.913134;-9.181371;TSNE;;;fea;neg;
SAVEE;-25.851418;-19.42558;TSNE;;;fea;neg;
SAVEE;-12.187819500000002;-15.175355999999999;TSNE;;;fea;neg;
SAVEE;-14.300013;-18.856405;TSNE;;;fea;neg;
SAVEE;-14.277776000000001;-17.494343;TSNE;;;fea;neg;
SAVEE;-11.578811;-22.001257;TSNE;;;fea;neg;
SAVEE;-15.431926999999998;-24.294445;TSNE;;;fea;neg;
SAVEE;-14.009720000000002;-24.773301999999997;TSNE;;;fea;neg;
SAVEE;-14.701355;-20.963982;TSNE;;;fea;neg;
SAVEE;-10.601365;-14.026257500000002;TSNE;;;fea;neg;
SAVEE;-21.304474;-9.179944;TSNE;;;fea;neg;
SAVEE;-13.335859;-21.98457;TSNE;;;fea;neg;
SAVEE;-10.821792;-18.867928;TSNE;;;fea;neg;
SAVEE;-15.127629999999998;-17.187153;TSNE;;;fea;neg;
SAVEE;-17.95164;-20.718342;TSNE;;;fea;neg;
SAVEE;-12.179938;-26.563663000000002;TSNE;;;hap;not;
SAVEE;-24.772669;-20.4875;TSNE;;;hap;not;
SAVEE;-10.983692999999999;-16.068820000000002;TSNE;;;hap;not;
SAVEE;-15.552366000000001;-22.36349;TSNE;;;hap;not;
SAVEE;-16.377087;-24.847070000000002;TSNE;;;hap;not;
SAVEE;-18.224386;-12.737243;TSNE;;;hap;not;
SAVEE;-15.50615;-22.033142;TSNE;;;hap;not;
SAVEE;-13.9753065;-19.740257;TSNE;;;hap;not;
SAVEE;-23.563435000000002;-21.897783;TSNE;;;hap;not;
SAVEE;-22.952059;-22.907383;TSNE;;;hap;not;
SAVEE;-17.161219;-20.563639000000002;TSNE;;;hap;not;
SAVEE;-16.241112;-24.07859;TSNE;;;hap;not;
SAVEE;-13.30071;-19.674902;TSNE;;;hap;not;
SAVEE;-18.478937;-25.303171;TSNE;;;hap;not;
SAVEE;-16.325548;-21.370646;TSNE;;;hap;not;
SAVEE;-17.770457999999994;-10.574708;TSNE;;;neu;not;
SAVEE;-24.828812;-19.845137;TSNE;;;neu;not;
SAVEE;-13.417012;-15.269854;TSNE;;;neu;not;
SAVEE;-19.22007;-20.189901000000006;TSNE;;;neu;not;
SAVEE;-14.932502;-15.828246;TSNE;;;neu;not;
